,bin_file_path,hd5_file_path,config_json_path,trials,network_size,network_kind,op,epsilon,steps,duration,action,undefined,converged,polarized,uid,mean_0_5,mean_0_75,quantile_0_1_threshold_0_9,quantile_0_1_threshold_0_75,quantile_0_25_threshold_0_9,quantile_0_25_threshold_0_75
0,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/aeb2bae27ba0497698634286dac9e2ac/1.bin,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/aeb2bae27ba0497698634286dac9e2ac/1.hd5,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/aeb2bae27ba0497698634286dac9e2ac/configuration.json,10.0,16.0,snap,BalaGoyalOp,0.01,100.0,2.311805248260498,?,False,False,False,aeb2bae27ba0497698634286dac9e2ac,1,100.0,,,,
1,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/aeb2bae27ba0497698634286dac9e2ac/2.bin,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/aeb2bae27ba0497698634286dac9e2ac/2.hd5,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/aeb2bae27ba0497698634286dac9e2ac/configuration.json,10.0,16.0,snap,BalaGoyalOp,0.01,100.0,2.2756850719451904,?,False,False,False,aeb2bae27ba0497698634286dac9e2ac,1,100.0,,,,
2,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/aeb2bae27ba0497698634286dac9e2ac/3.bin,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/aeb2bae27ba0497698634286dac9e2ac/3.hd5,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/aeb2bae27ba0497698634286dac9e2ac/configuration.json,10.0,16.0,snap,BalaGoyalOp,0.01,100.0,2.1505608558654785,?,False,False,False,aeb2bae27ba0497698634286dac9e2ac,0,100.0,,,,
3,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/aeb2bae27ba0497698634286dac9e2ac/4.bin,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/aeb2bae27ba0497698634286dac9e2ac/4.hd5,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/aeb2bae27ba0497698634286dac9e2ac/configuration.json,10.0,16.0,snap,BalaGoyalOp,0.01,100.0,2.215643882751465,?,False,False,False,aeb2bae27ba0497698634286dac9e2ac,0,100.0,,,,
4,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/aeb2bae27ba0497698634286dac9e2ac/5.bin,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/aeb2bae27ba0497698634286dac9e2ac/5.hd5,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/aeb2bae27ba0497698634286dac9e2ac/configuration.json,10.0,16.0,snap,BalaGoyalOp,0.01,100.0,2.317939043045044,?,False,False,False,aeb2bae27ba0497698634286dac9e2ac,1,100.0,,,,
5,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/720ee2b5e0de4ac3a9b8568cea70d98e/1.bin,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/720ee2b5e0de4ac3a9b8568cea70d98e/1.hd5,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/720ee2b5e0de4ac3a9b8568cea70d98e/configuration.json,10.0,16.0,snap,BalaGoyalOp,0.01,5.0,0.0951879024505615,?,False,False,False,720ee2b5e0de4ac3a9b8568cea70d98e,1,,,,,
6,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/720ee2b5e0de4ac3a9b8568cea70d98e/2.bin,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/720ee2b5e0de4ac3a9b8568cea70d98e/2.hd5,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/720ee2b5e0de4ac3a9b8568cea70d98e/configuration.json,10.0,16.0,snap,BalaGoyalOp,0.01,5.0,0.1002118587493896,?,False,False,False,720ee2b5e0de4ac3a9b8568cea70d98e,1,,,,,
7,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/720ee2b5e0de4ac3a9b8568cea70d98e/3.bin,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/720ee2b5e0de4ac3a9b8568cea70d98e/3.hd5,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/720ee2b5e0de4ac3a9b8568cea70d98e/configuration.json,10.0,16.0,snap,BalaGoyalOp,0.01,5.0,0.0868880748748779,?,False,False,False,720ee2b5e0de4ac3a9b8568cea70d98e,0,,,,,
8,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/720ee2b5e0de4ac3a9b8568cea70d98e/4.bin,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/720ee2b5e0de4ac3a9b8568cea70d98e/4.hd5,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/720ee2b5e0de4ac3a9b8568cea70d98e/configuration.json,10.0,16.0,snap,BalaGoyalOp,0.01,5.0,0.0913910865783691,?,False,False,False,720ee2b5e0de4ac3a9b8568cea70d98e,0,,,,,
9,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/720ee2b5e0de4ac3a9b8568cea70d98e/5.bin,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/720ee2b5e0de4ac3a9b8568cea70d98e/5.hd5,/Users/prudhvivuda/polygraphs-cache/results/2024-06-11/720ee2b5e0de4ac3a9b8568cea70d98e/configuration.json,10.0,16.0,snap,BalaGoyalOp,0.01,5.0,0.0874741077423095,?,False,False,False,720ee2b5e0de4ac3a9b8568cea70d98e,0,,,,,
